,id,updated,elanId,firstName,lastName,id_,affairId,affairTitle,date,divisionText,meaningNo,meaningYes,registrationNumber,submissionText,hasMorePages,decision
0,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,6767,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:27:26Z,Classement,Proposition de la minorité Chevrier (ne pas classer),Proposition de la majorité (classer),3027,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,NT
1,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,6768,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:33:19Z,"Art. 13, al. 2",Proposition de la minorité Leutenegger Oberholzer,Proposition de la majorité,3028,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,NT
2,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,6769,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2009-09-24T11:34:37Z,Vote sur l'ensemble,,,3029,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,NT
3,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,8687,20000431,Assurer l'encadrement législatif de l'activité de guide de montagne et du secteur des activités à risque,2010-12-17T10:01:09Z,Vote final,,,4947,Loi fédérale sur les guides de montagne et les organisateurs d'autres activités à risque,,EH
4,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,9678,20000436,Prestations complémentaires pour des familles. Modèle tessinois,2011-06-17T09:44:34Z,00.436 et 00.437,Proposition de la minorité Robbiani (ne pas classes les iv.pa. et prolonger le délai),Proposition de la majorité (classer les iv.pa.),5938,,,No
5,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,4215,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:51:48Z,Vote final,,,468,Arrêté fédéral portant approbation de la Convention sur les droits de l'Homme et la biomédecine,,Yes
6,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,4216,20010056,Convention sur les droits de l'Homme et la biomédecine,2008-03-20T11:52:53Z,,,,469,Arrêté fédéral portant approbation du Protocole additionnel à la Convention sur les droits de l'Homme et la biomédecine portant interdiction du clonage d'êtres humains,,Yes
7,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,10852,20010080,Réforme de la direction de l'Etat,2012-03-14T12:50:01Z,,Antrag der Minderheit Joder,Antrag der Mehrheit,7112,Loi sur l'organisation du gouvernement et de l'administration (LOGA),,No
8,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,10853,20010080,Réforme de la direction de l'Etat,2012-03-14T12:51:52Z,,,,7113,Loi sur l'organisation du gouvernement et de l'administration (LOGA),,No
9,2700,2022-03-09T05:17:21Z,12,Tiana Angelina,Moser,11498,20010080,Réforme de la direction de l'Etat,2012-09-10T15:56:03Z,,Antrag der Minderheit Gross Andreas  (Nichtabschreiben),Antrag der Mehrheit (Abschreiben),7758,Arrêté fédéral concernant la réforme de la direction de l'Etat,,Yes
